# Site info for stations in the Delta.
# xy is in UTM zone 10, epsg:26910. lat-lon is epsg 4269
station_id,agency_id,name,x,y,lat,lon,agency_lat,agency_lon,d1641_id,cdec_id,agency,comment
sham,s08010,Southampton Shoal Channel LB 6,550775.4,4196680.1,37.91624960,-122.42233365,37.91625,-122.4223333,,,noaa,
tibc1,tibc1,Tiburon Pier,548699,4193884.8,37.89117018,-122.44614445,37.89117018,-122.4461449,,,noaa,
scqc1,scqc1,China Camp,547485.2,4206082.9,38.00117068,-122.45914319,38.00117026,-122.4591436,,,noaa,
sffpx,9414290,San Francisco,547094.8,4184503.1,37.80669981,-122.46499963,37.8067,-122.465,,,noaa,
pryc1,9415020,Point Reyes,502341.4,4205260.6,37.99500004,-122.97333357,37.996,-122.977,,,noaa,
mtyc1,9413450,Monterey,599422.8,4051630.4,36.60500026,-121.88833374,36.605,-121.889,,,noaa,
aamc1,9414750,Alameda,561701.6,4180706.7,37.77161416,-122.29939850,37.77161379,-122.2993982,,,noaa,
rtyc1,9414523,Redwood City,569646.3,4151469.7,37.50754208,-122.21198468,37.506974,-122.2099047,,,noaa,
richm,9414863,Richmond,552736,4198019.3,37.92820758,-122.39993114,37.92820794,-122.3999317,,,noaa,
#smbr,9414458,San Mateo Bridge,565957.4,4159479,37.57999961,-122.25299957,37.58,-122.253,,,noaa,Very brief and old. Please do not uncomment as it breaks downloaders and is not useful
#dumbr2,9414509,Dumbarton Bridge,578219,4151452.5,37.50670020,-122.11500043,37.5067,-122.115,,,noaa,Very brief and old. Please do not uncomment as it breaks downloaders and is not useful
#coycr2,9414575,Coyote Creek,586398.5,4146906.5,37.46500037,-122.02299992,37.465,-122.023,,,noaa,Very brief and old. Please do not uncomment as it breaks downloaders and is not useful
anc,ANC,Antioch,605075.1,4208474.7,38.01787773,-121.80293902,38.01784713,-121.802883,,ANC,usbr,
cll,CLL,Collinsville,600858.7,4214644.1,38.07394943,-121.85009569,38.07394957,-121.8500958,,CLL,usbr,
cnt,CNT,Contra Costa,613995.8,4206152.6,37.99587588,-121.70170274,37.99587604,-121.7017029,C5,CNT,usbr,
pts,PTS,Pittsburg,597238.3,4211183.7,38.04316392,-121.89183551,38.04316356,-121.8918355,,PTS,usbr,
riv,RIV,Rio Vista,615252.9,4224292.9,38.15916842,-121.68446376,38.15916838,-121.6844634,D24A,RIV,usbr,Under bridge tenders office almost in center of channel
ver,VER,Vernalis,653005.8,4171637.9,37.67919084,-121.26488350,37.6791908,-121.2648837,C10,VER,usbr,Relocated from Durham Farry/Airoport Way Bridge to DWR pier where SJR is located
pct,PCT,Port Chicago,585550.4,4212803.2,38.05893814,-122.02482264,38.05893797,-122.024823,C14,PCT,usbr,Pier 2 (1 mile upstream from NOAA site)
afo,11446500,American River at Fair Oaks,654346.1435,4277827,38.63555874,-121.22666659,38.63546,-121.22773,,AFO,usgs,
mateo,11162765,"SF Bay at San Mateo Bridge Near Foster City, CA",566147.7,4159966.4,37.58437878,-122.25080048,37.58437876,-122.2508005,,,usgs,
guad,11169025,"Guadalupe R above Hw 101 at San Jose, CA",594479.1,4136908.3,37.37410363,-121.93291727,37.37410337,-121.9329168,,,usgs,
coycr,11172175,Coyote Creek above HW 237,594910,4142276.1,37.42243552,-121.92736200,37.42243546,-121.9273615,,,usgs,
vns,11303500,San Joaquin R near Vernalis,652957.8,4171293.8,37.67609876,-121.26549980,37.6760987,-121.2655001,,VNS,usgs,
sjg,11304810,San Joaquin R below Garwood Bridge,646735.2,4199969.7,37.93546717,-121.33022591,37.93546702,-121.3302259,,SJG,usgs,The gage is at the bottom of some concrete stairs that go to a pump stand. The gage is at the bottom of some concrete stairs that go to a pump stand. Bottom of concrete stairs that go to a pump stand. This location is not very carefully identified yet.
trn2,11311300,Turner Cut near Holt,635762.3,4206110.6,37.99250012,-121.45388865,37.9925,-121.4538889,,TRN,usgs,"USGS collects flow data on a pile they installed.  NCRO collects temp, pH, EC, DO, turbidity, chlorophyll on pile with USGS and uses USGS telemetry."
vcu,11312672,Victoria Canal near Byron,629291.6,4192502.2,37.87083365,-121.53000050,37.8708333,-121.53,,VCU,usgs,Not confirmed. Boat access.
mdm,11312676,Middle R at Middle River,628839.5,4200455,37.94255313,-121.53371762,37.94266627,-121.5338075,,MDM,usgs,
hlt,11312685,Middle R near Holt,630737.3,4207200.2,38.00305556,-121.51089855,38.00305556,-121.5108985,,HLT,usgs,"USGS collects flow data on a pile they installed.  NCRO collects temp, EC, turbidity and chlorophyll on pile with USGS and uses USGS telemetry.  All data on CDEC"
